Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
20131004,15.75650024,15.96000004,15.63099957,15.95199966,36300000,3,4,3,6,8,3,3
20131007,15.76200008,15.7670002,15.48700047,15.50150013,41664000,2,2,6,4,2,4,0
20131008,15.57499981,15.57750034,15.01350021,15.16149998,63324000,0,4,4,3,3,3,3
20131009,15.17099953,15.17500019,14.82499981,14.91149998,64948000,0,12,6,0,6,6,6
20131010,15.23149967,15.33500004,15.12950039,15.2585001,51102000,12,12,0,6,6,6,6
20131011,15.23849964,15.54650021,15.19200039,15.54450035,43262000,0,0,0,0,9,0,9
20131014,15.46100044,15.58250046,15.35000038,15.53499985,38782000,0,4,4,15,4,12,15
20131015,15.49349976,15.53950024,15.26299953,15.31999969,45222000,3,3,6,3,6,9,0
20131016,15.41899967,15.53999996,15.27750015,15.52449989,43414000,8,3,8,6,8,3,8
20131017,15.35350037,15.55000019,15.26200008,15.53849983,52968000,0,8,3,3,5,3,4
20131018,15.96800041,16.59449959,15.83749962,16.44650078,119396000,0,8,0,14,0,6,0
20131021,16.49449921,16.5,16.19000053,16.3220005,50446000,6,0,12,0,6,0,0
20131022,16.38599968,16.85549927,16.2840004,16.62700081,78710000,6,8,6,8,0,10,10
20131023,16.54199982,16.58600044,16.20299911,16.33799934,56364000,4,6,4,0,4,8,0
20131024,16.48150063,16.63249969,16.33749962,16.61050034,117694000,4,4,6,4,6,4,4
20131025,17.93000031,18.42000008,17.63100052,18.16950035,240736000,0,12,8,0,10,10,0
20131028,17.99600029,18.13750076,17.86000061,17.90800095,72716000,8,8,0,8,8,0,0
20131029,17.94799995,18.14450073,17.81450081,18.13500023,43708000,6,6,6,6,0,8,8
20131030,18.13100052,18.25,17.93250084,18.05400085,90044000,6,6,6,0,6,12,0
20131031,18.08650017,18.29999924,17.95000076,18.20149994,49336000,6,6,4,5,6,5,6
20131101,18.28149986,18.28849983,17.80500031,17.95000076,66620000,0,3,4,0,4,3,0
