Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7,MA7,MA21,MACD,20SD,upper_band,lower_band,EMA,logmomentum,absolute of 3 comp,angle of 3 comp,absolute of 6 comp,angle of 6 comp,absolute of 9 comp,angle of 9 comp
2013-11-26,26.11710739,26.43840218,25.97613525,26.36144066,91794785,4,4,16,0,13,8,9,25.79388918,25.60833503952381,-0.4526455942713099,0.29421107874972235,26.196757197023253,25.019912882024364,26.217899764741205,3.2332299363151127,28.024099955810865,0.11887031297655713,20.56818658175539,0.04635375457004577,24.285844696636904,0.011662514004633135
2013-11-27,26.45160294,26.60029602,26.40104294,26.47850227,45112461,3,7,0,7,3,6,0,25.906182695714286,25.640203656190476,-0.4802231232148735,0.3540677089340547,26.348339074058586,24.932068238322366,26.39163476824707,3.2378350483640697,27.88957425410981,0.12153691589618948,20.618518867722262,0.04609426260631408,24.44132291642838,0.010271512168858639
2013-11-29,26.45484161,26.56592369,26.38734436,26.39083099,47890836,0,3,2,2,2,5,0,26.02854565,25.674800144761907,-0.50304270202788,0.3920395774388447,26.458879299639595,24.89072098988422,26.391098916082356,3.2343881242081802,27.756181232686732,0.12421812995922522,20.670002051183204,0.04582295372528093,24.59635148541001,0.008893022100504666
2013-12-02,26.48846436,26.55920029,26.17090416,26.26355743,55133884,2,2,2,4,4,2,0,26.14300945571429,25.703146251904762,-0.5305184769235147,0.41257066995597136,26.528287591816706,24.878004911992818,26.306071258694118,3.2293629395479413,27.623921868879233,0.12691373317357943,20.722613342972735,0.04554004746985819,24.750871937069714,0.007527420833015707
2013-12-03,26.17563629,26.48672104,26.12756729,26.23317146,67295297,0,2,4,4,2,2,2,26.211289267142856,25.734244027142857,-0.5026857457608003,0.42688891482152236,26.5880218567859,24.880466197499814,26.25747139289804,3.2281594566952716,27.492797039875732,0.12962349616546154,20.776329958144355,0.04524576613337409,24.90482647464332,0.006175066937753442
2013-12-04,26.1860981,26.50017166,26.15197563,26.35571289,47842656,0,9,6,3,6,3,3,26.304831638571432,25.772280100952383,-0.4670275570000655,0.4416334988424653,26.655547098637314,24.88901310326745,26.322965724299348,3.2330040651995855,27.362807521663928,0.13234718213213006,20.831129118903004,0.044940334463828925,25.058157988873983,0.004836301316162399
2013-12-05,26.33130455,26.39257431,26.17912483,26.33479118,45517975,0,8,3,10,3,0,8,26.345429554285715,25.81476374857143,-0.4557242563417887,0.4511543192905143,26.71707238715246,24.9124551099904,26.330849361433113,3.232178596541428,27.23395398799745,0.13508454679876372,20.886988057528423,0.04462397937538739,25.210810075450162,0.003511447971591409
2013-12-06,26.64487839,26.65010834,26.40303421,26.64687157,57366220,12,8,18,8,0,22,0,26.38620539857143,25.870649517619047,-0.46676028432477423,0.452119087793488,26.774887693206022,24.96641134203207,26.541530833811038,3.24442159809644,27.10623700938241,0.13783533837960404,20.943884019290287,0.04429692966741644,25.362727052112664,0.0022008147601943694
2013-12-09,26.67476654,26.95671082,26.60079384,26.85284805,59526286,4,4,4,0,16,0,4,26.439683367142855,25.953896929523808,-0.45940548475237364,0.4752529001857672,26.90440272989534,25.003391129152273,26.74907564460368,3.2524207709009807,26.97965705208552,0.1405992975435195,21.001794265355432,0.043959415751339825,25.513853975423032,0.0009046941204612118
2013-12-10,26.8032856,27.20577621,26.79083061,27.01523972,74433955,4,4,8,12,8,4,16,26.528884614285715,26.035294213333334,-0.45412151859246563,0.4874376000670022,27.010169413467338,25.06041901319933,26.926518361534562,3.258682509383648,26.854214477164785,0.1433761573841468,21.06069607568726,0.04361166938554903,25.664136657184297,-0.0003766362189453312
2013-12-11,27.08348465,27.18111801,26.77887535,26.83167839,68728650,3,6,6,6,3,12,0,26.61004475142857,26.114402497142855,-0.49909573541062,0.4688546504853919,27.05211179811364,25.17669319617207,26.863291713844855,3.251601583316533,26.72990953952474,0.1461656433947545,21.120566751937986,0.043253923418571254,25.81352168050734,-0.0016429125532671175
2013-12-12,26.88846588,26.97240067,26.62520218,26.6491127,64099363,4,2,4,6,8,2,2,26.669464928571426,26.18340573857143,-0.5150343284319341,0.46872607067546873,27.12085787992237,25.245953597220492,26.72050570461495,3.2445089784258485,26.60674238699761,0.1489674734479777,21.181383620333694,0.04288641154066686,25.961956415514578,-0.002893884537762211
2013-12-13,26.78460503,26.80677223,26.34848976,26.42071915,86820208,0,2,3,2,1,2,0,26.678751537142855,26.216994148095235,-0.5253196132383628,0.46004548602125167,27.137085120137737,25.296903176052734,26.52064800153832,3.235564556077105,26.484713059451856,0.15178135778056442,21.243124034552576,0.042509368043990234,26.10938903467542,-0.0041293145458867996
2013-12-16,26.50066948,26.76692009,26.45110512,26.7243309,64320188,0,8,3,4,3,5,3,26.73440006857143,26.261766795714287,-0.4653660322837929,0.4566901443187431,27.175147084351774,25.3483865070768,26.656436600512773,3.247437271663682,26.36382148792989,0.15460699898327532,21.30576537859653,0.04212302759142572,26.25576852776615,-0.0053489770495004545
2013-12-17,26.72034645,26.91810417,26.60976028,26.6466217,61658247,0,3,2,0,5,0,0,26.73436437285714,26.304819650476194,-0.4500943827964967,0.44079309599709726,27.18640584247039,25.423233458482,26.649893333504256,3.2444118553402315,26.244067493816335,0.1574440919960724,21.369285069656005,0.04172762499417472,26.401044716448233,-0.0065526580209831565
2013-12-18,26.69618607,27.02246284,26.37713242,27.01748276,88743390,6,6,4,11,0,11,4,26.75788361714286,26.367916559999998,-0.40265213114651743,0.4233342722870545,27.214585104574105,25.52124801542589,26.894952951168083,3.2587687258987366,26.125450788038524,0.16029232410872782,21.43366056096854,0.0413233949981446,26.545168268460102,-0.007740154357089061
