Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
20180410,157.929993,165.979996,157.009995,165.039993,57889300,10,12,10,0,12,12,4
20180411,165.360001,168.649994,163.25,166.320007,56144600,8,8,0,6,6,4,0
20180412,166.979996,167.449997,163.100006,163.869995,38263000,0,3,2,2,0,7,0
20180413,164.580002,165.699997,163.770004,164.520004,19990600,4,4,4,6,12,3,3
20180416,165.720001,165.779999,163.389999,164.830002,18119400,3,3,8,6,3,4,3
20180417,165.830002,169,165.660004,168.660004,22743000,0,10,0,6,3,6,3
20180418,166.880005,168.119995,165.770004,166.360001,20969600,0,0,4,0,4,0,0
20180419,166.199997,168.330002,165.199997,168.100006,22235000,6,8,6,8,0,10,10
20180420,167.789993,168.429993,165.809998,166.279999,19119400,4,6,4,0,4,8,0
20180423,167.270004,168.449997,165.089996,165.839996,23088100,4,4,6,4,6,4,4
20180424,165.429993,166.100006,158.190002,159.690002,35079900,0,6,3,0,3,6,0
20180425,160.139999,161.059998,156.190002,159.690002,41083600,4,4,6,4,6,4,4
20180426,173.220001,176.270004,170.800003,174.160004,77556900,0,12,8,0,10,10,0
20180427,176.809998,177.100006,172.600006,173.589996,29804700,8,8,0,8,8,0,0
20180430,173.789993,175.720001,171.710007,172,20750500,5,3,4,4,0,8,0
20180501,172,174.020004,170.229996,173.860001,26025900,8,8,8,4,12,4,12
20180502,174.25,178.080002,174.199997,176.070007,30424500,9,9,8,6,8,6,6
20180503,175.130005,176.119995,172.119995,174.020004,24026100,0,6,0,6,0,0,0
20180504,173.080002,176.979996,173.059998,176.610001,17677800,8,6,8,6,0,10,10
20180507,177.350006,179.5,177.169998,177.970001,18697200,8,8,8,0,7,12,7
20180508,178.25,179.039993,177.110001,178.919998,15577200,6,6,0,5,6,6,5
20180509,179.669998,183.009995,178.779999,182.660004,23282800,0,0,8,6,3,8,3
20180510,183.149994,186.130005,182.5,185.529999,21071400,0,13,8,4,16,4,9
20180511,184.850006,188.320007,184.179993,186.990005,21207800,0,3,0,6,0,3,0
20180514,187.710007,187.860001,186.199997,186.639999,15646700,4,3,5,3,3,8,0
20180515,184.880005,185.289993,183.199997,184.320007,15429400,2,2,2,4,4,2,0
20180516,183.699997,184.320007,182.660004,183.199997,16975500,0,1,2,3,2,1,1
20180517,182.679993,184.059998,182.220001,183.759995,14840700,0,3,6,3,2,2,2
20180518,183.490005,184.190002,182.610001,182.679993,13130500,0,7,0,2,2,3,0
20180521,183.770004,185.300003,183.130005,184.490005,13532900,0,4,3,8,0,9,6
20180522,184.929993,185.419998,183.429993,183.800003,12731400,3,3,10,0,8,8,0
20180523,182.5,186.910004,182.179993,186.899994,16628100,6,12,4,10,8,10,4
20180524,185.880005,186.800003,185.029999,185.929993,12354700,5,3,6,3,5,4,0
20180525,186.020004,186.330002,184.449997,184.919998,10965100,4,4,3,4,3,6,0
20180529,184.339996,186.809998,183.710007,185.740005,16398900,0,8,4,3,6,3,6
20180530,186.539993,188,185.25,187.669998,13736900,9,9,8,6,8,6,6
20180531,187.869995,192.720001,187.479996,191.779999,30782600,0,12,0,12,0,0,0
20180601,193.070007,194.550003,192.070007,193.990005,17307200,12,0,18,8,8,0,22
20180604,191.839996,193.979996,191.470001,193.279999,18939800,0,6,6,6,0,18,0
20180605,194.300003,195,192.619995,192.940002,15544300,4,4,4,6,12,3,3
20180606,191.029999,192.529999,189.110001,191.339996,22558900,2,2,6,4,2,4,0
20180607,190.75,190.970001,186.770004,188.179993,21503200,0,3,2,2,2,3,0
20180608,187.529999,189.479996,186.429993,189.100006,12677100,0,8,4,3,6,3,6
20180611,188.809998,192.600006,188.800003,191.539993,12928900,16,10,8,9,12,9,4
20180612,192.169998,193.279999,191.559998,192.399994,11562700,11,8,4,14,12,4,15
20180613,192.740005,194.5,191.910004,192.410004,15853800,8,4,14,12,4,15,11
20180614,193.100006,197.279999,192.910004,196.809998,19120900,4,12,14,4,15,11,8
20180615,195.789993,197.070007,194.639999,195.850006,21860900,6,6,3,6,5,4,0
20180618,194.800003,199.580002,194.130005,198.309998,16826000,0,6,4,4,0,5,5
20180619,196.240005,197.960007,193.789993,197.490005,19994000,4,6,4,0,4,8,0
20180620,199.100006,203.550003,198.809998,202,28230900,6,6,4,5,6,5,6
20180621,202.759995,203.389999,200.089996,201.5,19045700,0,3,4,0,4,3,0
20180622,201.160004,202.240005,199.309998,201.740005,17420200,6,5,6,5,4,6,6
20180625,200,200,193.110001,196.350006,25275100,0,6,3,0,3,6,0
20180626,197.600006,199.100006,196.229996,199,17897600,4,4,6,4,6,4,4
20180627,199.179993,200.75,195.800003,195.839996,18734400,0,6,3,0,3,6,0
20180628,195.179993,197.339996,193.259995,196.229996,18172400,4,4,6,4,6,4,4
20180629,197.320007,197.600006,193.960007,194.320007,15811600,0,6,3,0,3,6,0
20180702,193.369995,197.449997,192.220001,197.360001,13961600,12,9,4,8,9,8,4
20180703,194.550003,195.399994,192.520004,192.729996,13489500,0,3,2,0,5,0,0
20180705,194.740005,198.649994,194.029999,198.449997,19684200,6,6,12,10,0,10,12
20180706,198.449997,203.639999,197.699997,203.229996,19740100,6,12,10,0,10,12,6
20180709,204.929993,205.800003,202.119995,204.740005,18149400,9,7,4,7,10,6,7
20180710,204.5,204.910004,202.259995,203.539993,13190100,0,3,2,2,2,5,0
20180711,202.220001,204.5,201.75,202.539993,12927400,4,2,4,6,8,2,2
20180712,203.429993,207.080002,203.190002,206.919998,15454700,0,3,6,3,2,2,2
20180713,207.809998,208.429993,206.449997,207.320007,11486800,0,7,0,2,2,3,0
20180716,207.5,208.720001,206.839996,207.229996,11078200,0,3,2,2,0,7,0
20180717,204.899994,210.460007,204.839996,209.990005,15349900,9,10,10,4,14,7,12
20180718,209.820007,210.990005,208.440002,209.360001,15334900,5,5,3,4,3,6,0
20180719,208.770004,209.990005,207.759995,208.089996,11350400,0,4,2,3,0,5,0
20180720,208.850006,211.5,208.5,209.940002,16163900,5,8,5,4,8,4,8
20180723,210.580002,211.619995,208.800003,210.910004,16732000,8,8,4,6,6,6,6
20180724,215.110001,216.199997,212.600006,214.669998,28468700,0,8,0,14,0,6,0
20180725,215.720001,218.619995,214.270004,217.5,58954200,12,0,21,0,21,0,12
20180726,174.889999,180.130005,173.75,176.259995,169803700,0,6,0,14,0,8,0
20180727,179.869995,179.929993,173,174.889999,60073700,6,6,6,6,4,8,8
20180730,175.300003,175.300003,166.559998,171.059998,65280800,8,4,8,4,5,8,5
20180731,170.669998,174.240005,170,172.580002,40356500,0,10,0,6,3,6,3
20180801,173.929993,175.080002,170.899994,171.649994,34042100,0,0,6,0,12,0,6
20180802,170.679993,176.789993,170.270004,176.369995,32400000,0,12,0,24,0,12,0
20180803,177.690002,178.850006,176.149994,177.779999,24763400,8,0,18,8,12,0,18
20180806,178.970001,185.789993,178.380005,185.690002,49716200,0,12,8,18,0,18,8
20180807,186.5,188.300003,183.720001,183.809998,33398600,4,3,7,0,6,4,0
20180808,184.75,186.850006,183.759995,185.179993,22205200,6,5,6,5,4,6,6
20180809,185.850006,186.570007,182.479996,183.089996,19732100,0,6,3,0,3,6,0
20180810,182.039993,182.100006,179.419998,180.259995,21500400,3,3,3,3,4,4,0
20180813,180.100006,182.610001,178.899994,180.050003,17423300,0,8,4,3,6,3,6
20180814,180.710007,181.990005,178.619995,181.110001,19102000,9,9,8,6,8,6,6
20180815,179.339996,180.869995,174.779999,179.529999,33020200,0,6,0,6,0,0,0
20180816,180.419998,180.5,174.009995,174.699997,31351800,6,3,6,3,0,10,0
20180817,174.5,176.220001,172.039993,173.800003,24893200,4,4,4,6,12,3,3
20180820,174.039993,174.570007,170.910004,172.5,21518000,3,3,8,6,3,4,3
20180821,172.809998,174.169998,171.389999,172.619995,19578500,0,10,0,6,3,6,3
20180822,172.210007,174.240005,172.130005,173.639999,16894100,14,0,12,4,12,4,0
20180823,173.089996,175.550003,172.830002,172.899994,18053600,0,12,4,12,4,0,14
20180824,173.699997,174.820007,172.919998,174.649994,14631600,9,4,14,12,0,12,15
20180827,175.990005,178.669998,175.789993,177.460007,17921900,8,15,15,0,20,18,0
20180828,178.100006,178.240005,175.830002,176.259995,15910700,8,8,0,8,8,0,0
20180829,176.300003,176.789993,174.75,175.899994,18494100,6,6,6,6,0,8,8
20180830,175.899994,179.789993,175.699997,177.639999,24216500,12,12,12,0,12,12,12
20180831,177.149994,177.619995,174.979996,175.729996,18065200,7,7,0,4,4,6,0
20180904,173.5,173.889999,168.800003,171.160004,29809000,0,3,2,2,0,7,0
20180905,169.490005,171.130005,166.669998,167.179993,31226700,4,4,4,6,12,3,3
20180906,166.979996,166.979996,160,162.529999,41514800,2,2,6,4,2,4,0
20180907,160.309998,164.630005,160.160004,163.039993,24300600,0,8,3,4,3,5,3
20180910,163.509995,165.009995,162.160004,164.179993,20197700,0,8,6,0,14,0,0
20180911,163.940002,167.190002,163.720001,165.940002,20457100,12,12,0,24,0,0,0
20180912,163.25,164.490005,161.800003,162,24078100,9,0,9,0,0,0,0
20180913,162,163.320007,160.860001,161.360001,25453800,6,6,6,6,0,12,12
20180914,161.720001,162.839996,160.339996,162.320007,21770400,12,12,12,0,12,12,12
20180917,161.919998,162.059998,159.770004,160.580002,21005300,7,7,0,4,4,6,0
20180918,159.389999,161.759995,158.869995,160.300003,22465200,0,4,6,6,0,8,8
20180919,160.080002,163.440002,159.479996,163.059998,19629000,8,15,18,0,18,15,8
20180920,164.5,166.449997,164.470001,166.020004,18936000,18,14,0,12,12,4,4
20180921,166.639999,167.25,162.809998,162.929993,45994800,0,0,0,0,0,0,0
20180924,161.029999,165.699997,160.880005,165.410004,19222800,6,6,6,6,0,12,12
20180925,161.990005,165.589996,161.149994,164.910004,27622800,6,6,6,0,6,12,0
20180926,164.300003,169.300003,164.210007,166.949997,25252200,6,6,4,5,6,5,6
20180927,167.550003,171.770004,167.210007,168.839996,27266900,0,4,6,0,7,3,4
20180928,168.330002,168.789993,162.559998,164.460007,34265600,3,7,0,7,3,6,0
20181001,163.029999,165.880005,161.259995,162.440002,26407700,0,6,3,4,3,5,5
20181002,161.580002,162.279999,158.669998,159.330002,36031000,8,4,8,4,5,8,5
20181003,160,163.660004,159.529999,162.429993,23109500,0,10,0,6,3,6,3
20181004,161.460007,161.460007,157.350006,158.850006,25739600,0,0,4,0,4,0,0
20181005,159.210007,160.899994,156.199997,157.330002,25744000,6,8,6,8,0,10,10
20181008,155.539993,158.339996,154.389999,157.25,24046000,7,12,7,0,8,8,8
20181009,157.690002,160.589996,157.419998,157.899994,18844400,12,12,0,6,6,6,6
20181010,156.820007,157.690002,151.309998,151.380005,30610000,0,0,0,0,0,0,0
20181011,150.130005,154.809998,149.160004,153.350006,35338900,6,6,6,6,0,12,12
20181012,156.729996,156.889999,151.300003,153.740005,25293500,8,8,8,0,7,12,7
20181015,153.320007,155.570007,152.550003,153.520004,15433500,6,6,0,5,6,6,5
20181016,155.399994,159.460007,155.009995,158.779999,19180100,0,0,8,6,3,8,3
20181017,159.559998,160.490005,157.949997,159.419998,17592000,0,10,9,6,10,4,9
20181018,158.509995,158.660004,153.279999,154.919998,21675100,0,4,2,3,0,5,0
20181019,155.860001,157.350006,153.550003,154.050003,19761300,3,4,3,6,8,3,3
20181022,154.759995,157.339996,154.460007,154.779999,15424700,3,3,12,6,4,4,4
20181023,151.220001,154.770004,150.850006,154.389999,19095000,0,8,0,4,4,3,5
20181024,154.279999,154.649994,145.600006,146.039993,27744600,0,0,4,4,0,8,0
20181025,147.729996,152.210007,147,150.949997,22105700,6,6,6,6,12,6,6
20181026,145.820007,149,143.800003,145.369995,31303300,2,2,6,4,2,4,0
20181029,148.5,148.830002,139.029999,142.089996,31336800,0,4,4,3,3,3,3
20181030,139.940002,146.639999,139.740005,146.220001,50528300,0,12,7,0,8,8,3
20181031,155,156.399994,148.960007,151.789993,60101300,18,14,0,12,12,4,4
20181101,151.520004,152.75,149.350006,151.75,25640800,0,0,0,0,0,0,0
20181102,151.800003,154.130005,148.960007,150.350006,24708700,3,3,3,3,0,12,0
20181105,150.100006,150.190002,147.440002,148.679993,15971200,2,2,2,3,6,3,0
20181106,149.309998,150.970001,148,149.940002,16667100,2,2,8,6,4,2,4
20181107,151.570007,153.009995,149.830002,151.529999,21877400,0,9,6,3,6,3,3
20181108,150.490005,150.940002,146.740005,147.869995,24145800,0,6,0,6,0,0,0
20181109,146.75,147.759995,144.070007,144.960007,17326900,8,6,8,6,0,10,10
20181112,144.479996,145.039993,140.490005,141.550003,18542100,6,6,6,0,6,12,0
20181113,142,144.880005,141.619995,142.160004,15141700,8,8,4,6,6,6,6
20181114,143.699997,145.580002,141.550003,144.220001,22068400,0,8,6,0,14,0,0
20181115,142.330002,144.839996,140.830002,143.850006,30320300,8,8,8,20,8,0,20
20181116,141.070007,141.770004,137.770004,139.529999,37250600,6,6,10,6,0,16,0
20181119,137.610001,137.75,131.210007,131.550003,44362700,2,2,2,3,6,3,0
20181120,127.029999,134.160004,126.849998,132.429993,41939500,2,2,8,6,4,2,4
20181121,134.399994,137.190002,134.130005,134.820007,25469700,0,9,6,3,6,3,3
20181123,133.649994,134.5,131.259995,131.729996,11886100,0,6,0,6,0,0,0
20181126,133,137,132.779999,136.380005,24263600,9,4,14,12,0,12,15
20181127,135.75,136.610001,133.710007,135,20750300,3,8,8,0,7,12,0
20181128,136.279999,136.789993,131.850006,136.759995,29847500,4,4,6,4,6,4,4
20181129,135.919998,139.990005,135.660004,138.679993,24238700,0,12,6,0,6,6,6
20181130,138.259995,140.970001,137.360001,140.610001,25732600,18,13,0,9,9,9,4
20181203,143,143.679993,140.759995,141.089996,24819200,0,0,0,0,0,0,0
20181204,140.729996,143.389999,137.160004,137.929993,30307400,3,3,3,3,0,12,0
20181206,133.820007,139.699997,133.669998,139.630005,28218100,4,4,4,6,12,3,3
20181207,139.25,140.869995,136.660004,137.419998,21195500,2,2,6,4,2,4,0
20181210,139.600006,143.050003,139.009995,141.850006,26422200,0,6,3,4,3,4,4
20181211,143.880005,143.880005,141.100006,142.080002,20300300,0,4,5,3,6,3,5
20181212,143.080002,147.190002,142.509995,144.5,23696900,4,10,8,10,4,12,6
20181213,145.570007,145.850006,143.190002,145.009995,18148600,0,3,4,0,4,3,0
20181214,143.339996,146.009995,142.509995,144.059998,21785800,4,4,3,4,3,6,0
20181217,143.080002,144.919998,138.419998,140.190002,24334000,0,2,1,2,3,2,0
