Open,High,Low,Close,Adj Close,Volume,Date,CI1,CI2,CI3,CI4,CI5,CI6,CI7,MA7,MA21,MACD,20SD,upper_band,lower_band,EMA,logmomentum,absolute of 3 comp,angle of 3 comp,absolute of 6 comp,angle of 6 comp,absolute of 9 comp,angle of 9 comp
46.52999878,46.53749847,46.17499924,46.22999954,44.24197388,108801600,2018-06-22,12.0,9.0,,8.0,9.0,8.0,6.0,44.80626951000001,45.32840056714286,-2.445526060797661,0.6746304889636051,46.67766154507007,43.97913958921565,44.3152981691124,3.7668116411278105,41.20474542903104,-0.0352959041955883,50.18050829548069,0.0216839590005185,51.74697316316516,0.0164413737193133
45.84999847,46.22999954,45.18249893,45.54249954,43.58404922,126652400,2018-06-25,,,5.0,,2.0,3.0,,44.51130839714286,45.260271527142855,-2.3767904907917483,0.7805612252906733,46.8213939777242,43.69914907656151,43.82779886970413,3.751479751702965,41.152065341622425,-0.0360861255685232,50.15282734291967,0.02124939727949,51.84472454918557,0.0165083659115477
45.74750137,46.63249969,45.63499832,46.10749817,44.12474823,98276800,2018-06-26,4.0,11.0,4.0,6.0,4.0,11.0,4.0,44.36058098857143,45.21299180571429,-2.3478765061912057,0.8191720739437964,46.85133595360188,43.574647657826695,44.02576510990138,3.764097037189554,41.09892645450402,-0.0368762902912559,50.12339026035762,0.0208091667819821,51.94022269126671,0.0165654990952045
46.30749893,46.81999969,46.00749969,46.04000092,44.06014633,101141200,2018-06-27,,4.0,3.0,6.0,9.0,,8.0,44.20404216142857,45.1703820004762,-2.3606765160205185,0.8566280411232226,46.88363808272264,43.45712591822975,44.04868592330046,3.7625978902119104,41.04533019104134,-0.0376663719007658,50.09219147001364,0.0203633397023459,52.03340634284898,0.0166127997826252
46.02500153,46.55250168,45.95000076,46.375,44.38073349,69460800,2018-06-28,4.0,4.0,12.0,15.0,,15.0,4.0,44.197545731428576,45.1475959052381,-2.310353300576004,0.869285075414919,46.886166056067935,43.40902575440826,44.27005096776682,3.770015413738953,40.99127799321519,-0.0384563438352613,50.05922564861027,0.0199119885373238,52.12421468996998,0.0166502982681301
46.57249832,46.79750061,45.72750092,46.27750015,44.28744507,90950800,2018-06-29,3.0,6.0,9.0,,8.0,4.0,,44.150038037142856,45.12754476666667,-2.313949358839409,0.8867762608869569,46.90109728844058,43.35399224489275,44.28164703592228,3.767862640770184,40.93677132156424,-0.0392461794322646,50.02448772881007,0.0194551860816271,52.212587379014565,0.0166780285129237
45.95500183,46.82500076,45.85499954,46.79499817,44.78268814,70925200,2018-07-02,6.0,8.0,4.0,8.0,4.0,8.0,6.0,44.20882633714286,45.09268261142857,-2.2865477321359293,0.8695355984328601,46.831753808294295,43.35361141456285,44.61567443864076,3.779238491306138,40.8818116551268,-0.040035851926682,49.987972900603694,0.0189930054239057,52.29846454431839,0.0166960280315783
46.94749832,46.98749924,45.88499832,45.97999954,44.00272751,55819200,2018-07-03,,3.0,4.0,,4.0,3.0,,44.17464828428571,45.00256529333333,-2.3450705427000216,0.8517292149811994,46.70602372329573,43.29910686337094,44.20704315288025,3.761263544147052,40.82640049138209,-0.0408253344488579,49.94967661264917,0.0185255199430959,52.3817868356127,0.0167043377801806
46.31499863,46.60250092,46.06999969,46.34999847,44.35682678,66416800,2018-07-05,6.0,5.0,6.0,5.0,4.0,6.0,6.0,44.28504507857143,44.91244870142857,-2.31275170325366,0.7865351398075893,46.48551898104376,43.33937842181339,44.30689890429341,3.769464171335295,40.770539346190986,-0.0416146000226113,49.90959457356209,0.0180528033051483,52.46249544529724,0.0167030020462492
46.35499954,47.10749817,46.29999924,46.99250031,44.97169113,69940800,2018-07-06,,12.0,6.0,,6.0,6.0,6.0,44.40603692142857,44.84397815523809,-2.3188126357301257,0.7104616917020616,46.26490153864221,43.42305477183397,44.75009372143114,3.783546043449248,40.71422975373605,-0.0424036215632574,49.86772275315658,0.0175749294601383,52.5405321355291,0.0166920683405061
