Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
20130612,30.83285713,30.83285713,29.55285645,29.66285706,19108600,4,3,5,3,3,8,0
20130613,29.71285629,30.79285622,29.3928566,30.77000046,18511500,8,3,8,6,8,3,8
20130614,30.68142891,31.04142952,30.33142853,30.56999969,12495700,0,6,3,4,4,3,4
20130617,32.22000122,32.92856979,31.9642868,32.74714279,35851200,9,4,9,10,4,10,4
20130618,32.8914299,33,32.34285736,32.68999863,17476900,3,6,9,0,8,4,0
20130619,32.57143021,33.69714355,32.51571274,33.18714142,22353100,6,5,6,5,4,6,6
20130620,32.78142929,33,31.50571442,31.93142891,21116200,0,6,3,0,3,6,0
20130621,32.15000153,32.34000015,30.60000038,30.98571396,23398200,4,4,6,4,6,4,4
20130624,30.4285717,31.29714394,29.8571434,30.79999924,17896200,0,12,6,0,6,6,6
20130625,30.28142929,30.5,29.65142822,30.41428566,20918800,10,10,0,6,8,6,8
20130626,30.64999962,31.1785717,30.11714363,30.29999924,18834200,0,0,0,12,0,6,6
20130627,30.41571426,30.9614296,29.94285774,30.70999908,18326700,0,0,24,0,12,12,0
20130628,30.61000061,30.89999962,30.00714302,30.15571404,19581100,0,12,0,6,6,0,0
20130701,30.51714325,32.18999863,30.2857132,32.04000092,24517500,14,4,9,9,0,12,0
20130702,32.17571259,32.49571228,31.1428566,31.63714218,17730300,3,3,3,0,9,0,0
20130703,31.73142815,32,31.27857018,31.55857086,8625400,6,6,6,6,0,8,8
20130705,31.72714233,32.17856979,31.33285713,32.15714264,9957500,7,12,7,0,8,8,8
20130708,32.42571259,33.60571289,32.2157135,33.29999924,24289300,12,12,0,6,6,6,6
20130709,33.57714462,35.34428787,33.55285645,35.34000015,35509600,0,0,0,0,0,0,0
20130710,35.07857132,35.27142715,34.17285538,34.83142853,22578500,0,0,0,0,0,0,0
20130711,35.42856979,35.59999847,34.40285873,34.88142776,21146300,6,6,6,6,0,12,12
20130712,35.11857224,36.77571487,35.1071434,36.75143051,34238400,12,12,12,0,12,12,12
20130715,37.05714417,37.12142944,36.01856995,36.85428619,20612900,7,7,0,4,4,6,0
20130716,36.75571442,38.05285645,36.67142868,37.2114296,33356400,0,6,4,4,0,7,7
20130717,37.31999969,38.3228569,36.95285797,38.27428436,19510400,12,14,14,0,14,14,12
20130718,38.61571503,38.61571503,37.7142868,38.05857086,20487600,7,7,0,4,4,6,0
20130719,38.20428467,38.27857208,37.59714127,37.79714203,18120200,0,3,2,2,0,7,0
20130722,38.12142944,38.3928566,36.73143005,37.42285538,47313700,2,2,2,3,6,3,0
20130723,35.91428757,37.4614296,35.17142868,35.75143051,76829200,1,1,2,3,2,1,0
20130724,35.67428589,36.0357132,34.31428528,34.47142792,33409600,0,1,2,3,2,1,1
20130725,34.36571503,35.38000107,34.27285767,35.24856949,19634300,0,3,6,3,2,2,2
20130726,34.94571304,35.28285599,34.40142822,35.18714142,17826900,0,10,0,3,6,3,6
20130729,35.15142822,35.81000137,34.6428566,34.99428558,13215300,0,0,3,8,3,6,8
20130730,35.05714417,35.41571426,34.54428482,34.8228569,10890600,0,8,18,15,8,18,15
20130731,34.77285767,35.29999924,34.56285858,34.92571259,13120800,8,10,16,4,12,9,9
20130801,35.22000122,35.7142868,34.93857193,35.58856964,14139300,0,18,0,6,6,6,0
20130802,35.61999893,35.61999893,34.97142792,35.16857147,13879600,9,0,3,3,3,0,0
20130805,34.84428787,36.27142715,34.48285675,36.26285553,22962100,4,4,12,12,0,14,18
20130806,36.27857208,36.79999924,35.72857285,36.55714417,20413400,4,10,10,4,9,12,9
