Open,High,Low,Close,Adj Close,Volume,Date,CI1,CI2,CI3,CI4,CI5,CI6,CI7
8.39214325,8.518214226,8.384642601,8.517499924,7.249401093,684507600,4/5/2010,0,12,6,0,6,6,6
8.507143021,8.579999924,8.464285851,8.555000305,7.281318665,447017200,4/6/2010,8,8,0,6,6,6,6
8.555356979,8.640000343,8.523571014,8.592857361,7.313538551,628502000,4/7/2010,0,0,8,8,0,8,8
8.587142944,8.626428604,8.501428604,8.569643021,7.293780327,572989200,4/8/2010,0,10,10,0,8,12,0
8.62250042,8.638929367,8.587857246,8.635356903,7.349711418,334182800,4/9/2010,4,4,6,4,6,4,4
8.649999619,8.681071281,8.636071205,8.653214455,7.364910126,333026400,4/12/2010,0,6,3,0,3,6,0
8.637857437,8.67142868,8.611070633,8.658213615,7.36916399,306210800,4/13/2010,3,3,3,3,4,4,0
8.760000229,8.778928757,8.716786385,8.774642944,7.468261719,404076400,4/14/2010,0,9,5,3,8,6,3
8.777856827,8.893928528,8.768214226,8.890000343,7.566441536,376784800,4/15/2010,12,10,4,12,10,4,6
8.87749958,8.969285965,8.73392868,8.83571434,7.520235062,750545600,4/16/2010,0,3,0,6,0,3,0
8.822500229,8.853214264,8.634642601,8.823928833,7.510208607,566924400,4/19/2010,6,6,6,6,4,8,8
8.876428604,8.901785851,8.677143097,8.735357285,7.434824944,738326400,4/20/2010,6,3,6,3,4,8,0
9.242856979,9.294643402,9.133213997,9.257857323,7.87953186,982391200,4/21/2010,0,8,3,4,3,5,3
9.222857475,9.526785851,9.149999619,9.516785622,8.09991169,793424800,4/22/2010,11,4,6,4,11,4,4
9.571070671,9.720713615,9.535714149,9.672499657,8.232439995,796955600,4/23/2010,4,6,4,11,4,4,11
9.710000038,9.730713844,9.578213692,9.625,8.192015648,479068800,4/26/2010,4,3,5,3,3,8,0
9.54535675,9.565713882,9.304286003,9.358571053,7.965248585,709343600,4/27/2010,2,2,2,4,4,2,0
9.401785851,9.428570747,9.157500267,9.342857361,7.951879025,758402400,4/28/2010,0,1,2,3,2,1,1
9.3935709,9.642856598,9.357500076,9.594285965,8.16587162,558840800,4/29/2010,0,6,8,3,4,4,3
9.618213654,9.66321373,9.321429253,9.324643135,7.936378002,542463600,4/30/2010,0,8,0,4,4,0,0
9.422857285,9.56714344,9.388570786,9.512499809,8.096261024,454342000,5/3/2010,6,6,6,6,0,8,8
9.388929367,9.403214455,9.169643402,9.238571167,7.863115788,723819600,5/4/2010,6,6,6,0,6,12,0
9.036786079,9.219285965,8.883213997,9.142499924,7.781346798,883103200,5/5/2010,4,4,6,4,6,4,4
9.065357208,9.223214149,7.116071224,8.794643402,7.485284328,1285860800,5/6/2010,0,6,3,0,3,6,0
8.703928947,8.806071281,8.043213844,8.423570633,7.169455051,1676018400,5/7/2010,3,3,3,3,4,4,0
8.9375,9.094642639,8.876070976,9.071070671,7.720555305,984306400,5/10/2010,0,9,6,3,10,8,0
8.994285583,9.281785965,8.946429253,9.161429405,7.79746151,848906800,5/11/2010,9,9,4,18,13,0,9
9.258570671,9.397500038,9.239286423,9.360357285,7.96677351,654379600,5/12/2010,12,4,18,14,0,12,4
9.400713921,9.464285851,9.157142639,9.227143288,7.853394508,599712400,5/13/2010,3,6,9,0,8,4,0
9.112856865,9.159999847,8.910714149,9.06499958,7.715387344,759362800,5/14/2010,4,4,3,4,3,6,0
9.096428871,9.14928627,8.846785545,9.079285622,7.727548122,762834800,5/17/2010,0,8,4,3,6,3,6
9.177857399,9.23392868,8.937856674,9.012857437,7.671007156,782678400,5/18/2010,8,8,4,6,6,6,6
8.910714149,9.032856941,8.744643211,8.869285583,7.548811436,1025726800,5/19/2010,0,3,0,6,0,3,0
8.638570786,8.708929062,8.436071396,8.491429329,7.227210999,1282915200,5/20/2010,4,3,5,3,3,8,0
8.31499958,8.732143402,8.262499809,8.654286385,7.365822315,1223891200,5/21/2010,8,3,8,6,8,3,8
8.831428528,8.96071434,8.795000076,8.812856674,7.50078392,754238800,5/24/2010,0,12,3,6,6,6,3
8.548213959,8.812856674,8.470000267,8.757857323,7.453973293,1048006400,5/25/2010,6,3,3,7,3,4,0
8.931428909,9.00464344,8.705356598,8.718214035,7.420231819,850654000,5/26/2010,6,9,7,9,4,9,12
8.949999809,9.067500114,8.896785736,9.048213959,7.701100349,666282400,5/27/2010,12,7,14,4,10,10,9
9.263929367,9.264286041,9.048213959,9.174285889,7.808403969,815614800,5/28/2010,0,8,0,4,4,3,5
9.274642944,9.497857094,9.248571396,9.315357208,7.928468704,876472800,6/1/2010,0,0,8,8,0,8,8
9.447856903,9.45714283,9.297499657,9.426786423,8.023309708,688548000,6/2/2010,0,12,12,4,10,12,10
9.470713615,9.48392868,9.300356865,9.397143364,7.998081207,650106800,6/3/2010,3,3,3,3,4,4,0
9.221785545,9.353570938,9.093929291,9.141428947,7.780437946,758304400,6/4/2010,0,2,1,2,3,2,0
9.224642754,9.255356789,8.948213577,8.962142944,7.627844334,886942000,6/7/2010,1,1,4,4,4,1,1
9.044285774,9.064286232,8.77321434,8.904643059,7.578904152,1000770400,6/8/2010,0,3,6,3,2,2,2
8.981071472,8.996429443,8.660357475,8.685713768,7.392570019,854630000,6/9/2010,0,7,0,2,2,3,0
8.744285583,8.963570595,8.649999619,8.946785927,7.614774704,776356000,6/10/2010,0,4,3,3,0,10,0
8.865357399,9.066429138,8.834643364,9.053929329,7.705966949,545759200,6/11/2010,4,4,4,0,16,0,4
9.141428947,9.255356789,9.071785927,9.081428528,7.729372501,602960400,6/14/2010,4,4,8,12,8,4,16
9.130000114,9.280357361,9.125,9.274642944,7.893817902,585074000,6/15/2010,4,8,12,8,4,16,4
9.324999809,9.5625,9.308214188,9.544643402,8.123620987,783678000,6/16/2010,8,12,8,4,16,4,4
9.66428566,9.746429443,9.625,9.709643364,8.264057159,872855200,6/17/2010,0,8,0,12,6,0,10
9.723214149,9.821429253,9.693571091,9.78821373,8.330929756,784621600,6/18/2010,6,0,12,9,0,15,0
9.917499542,9.964642525,9.597499847,9.648928642,8.212378502,776490400,6/21/2010,3,4,4,3,8,6,0
9.720000267,9.856071472,9.696429253,9.780357361,8.324242592,717262000,6/22/2010,1,1,4,4,4,1,1
9.806428909,9.809286118,9.567856789,9.677499771,8.236698151,768457200,6/23/2010,0,2,3,2,1,2,0
9.678570747,9.757143021,9.574999809,9.607143402,8.176814079,714277200,6/24/2010,0,4,4,3,3,3,3
9.645000458,9.652500153,9.493213654,9.524999619,8.106904984,549942400,6/25/2010,0,8,4,0,4,6,4
9.533213615,9.633929253,9.447142601,9.58214283,8.155538559,584948000,6/28/2010,10,10,0,8,6,8,6
9.43285656,9.442500114,9.08214283,9.148928642,7.786822796,1133344800,6/29/2010,0,0,4,0,4,0,0
9.168213844,9.213213921,8.928929329,8.983214378,7.645776272,739452000,6/30/2010,6,8,6,8,0,10,10
9.08214283,9.100000381,8.686429024,8.874285698,7.553068161,1022896000,7/1/2010,7,12,7,0,8,8,8
8.946070671,8.96178627,8.685713768,8.819286346,7.506259441,693842800,7/2/2010,12,12,0,6,6,6,6
8.964285851,9.028571129,8.791428566,8.87964344,7.557627201,615235600,7/6/2010,0,0,0,0,0,0,0
8.946070671,9.241786003,8.919643402,9.238213539,7.862812042,654556000,7/7/2010,0,0,0,0,0,0,0
9.374285698,9.389286041,9.103214264,9.217499733,7.845184803,738144400,7/8/2010,0,0,0,0,0,0,0
9.174642563,9.282142639,9.112856865,9.272143364,7.891692162,433322400,7/9/2010,6,6,6,6,0,12,12
9.233214378,9.35178566,9.102143288,9.188928604,7.820865631,562878400,7/12/2010,6,6,6,0,6,12,0
9.154286385,9.157142639,8.801071167,8.992856979,7.6539855,1190924000,7/13/2010,3,3,3,3,4,4,0
8.906429291,9.135713577,8.892856598,9.026070595,7.68225193,812047600,7/14/2010,0,8,4,3,6,3,6
8.865357399,9.177499771,8.83214283,8.98035717,7.643345356,824866000,7/15/2010,8,8,4,6,6,6,6
9.042142868,9.106071472,8.871786118,8.925000191,7.596233368,1039858400,7/16/2010,0,4,0,9,6,3,8
8.924285889,8.924285889,8.557143211,8.770713806,7.464916229,1024478000,7/19/2010,3,0,9,9,3,12,0
8.675000191,9.032142639,8.571785927,8.996070862,7.656722546,1074950800,7/20/2010,4,10,12,6,12,10,4
9.467499733,9.469642639,9.071429253,9.079999924,7.728154182,1185671200,7/21/2010,0,12,3,9,9,0,3
9.202857018,9.285714149,9.118213654,9.250714302,7.873452663,645318800,7/22/2010,15,4,12,15,0,4,4
9.181785583,9.299285889,9.152856827,9.283571243,7.901419163,533388800,7/23/2010,3,0,10,0,3,4,0
9.285714149,9.28928566,9.203928947,9.260000229,7.881358147,420551600,7/26/2010,3,5,3,4,3,8,0
9.316785812,9.45714283,9.29642868,9.431428909,8.027263641,584771600,7/27/2010,0,8,4,3,6,3,6
9.416786194,9.499643326,9.294643402,9.319999695,7.932419777,519985200,7/28/2010,5,5,3,4,3,6,0
9.311071396,9.380356789,9.146429062,9.218214035,7.845792294,643806800,7/29/2010,0,6,4,4,0,5,5
9.138929367,9.274999619,9.103570938,9.1875,7.81965065,448210000,7/30/2010,7,12,7,0,8,8,8
9.301428795,9.378213882,9.272143364,9.35178566,7.959476471,428055600,8/2/2010,12,12,0,6,6,6,6
9.321785927,9.402142525,9.265000343,9.354642868,7.96190834,417653600,8/3/2010,0,0,3,3,3,0,9
9.387143135,9.438570976,9.296786308,9.39214325,7.993826389,420375200,8/4/2010,0,8,15,15,0,20,18
9.347499847,9.39928627,9.305356979,9.346428871,7.954916477,289097200,8/5/2010,3,8,8,0,7,12,0
9.277856827,9.338929176,9.201070786,9.288928986,7.90597868,444897600,8/6/2010,3,3,3,3,4,4,0
9.338570595,9.362500191,9.270357132,9.348214149,7.956436157,303128000,8/9/2010,0,8,4,3,6,3,6
9.280357361,9.301786423,9.198213577,9.264642715,7.885302544,451920000,8/10/2010,5,5,3,4,3,6,0
9.121429443,9.131786346,8.921786308,8.935357094,7.605048656,620054400,8/11/2010,0,4,2,3,0,5,0
8.810357094,9.03928566,8.789999962,8.992500305,7.653682709,534920400,8/12/2010,3,4,3,6,8,3,3
8.987500191,8.995714188,8.896071434,8.896429062,7.571912766,354869200,8/13/2010,3,3,8,6,3,4,3
8.842143059,8.928929329,8.80785656,8.844285965,7.527536869,318430000,8/16/2010,0,8,0,5,3,4,4
8.931428909,9.093929291,8.899999619,8.998929024,7.659152031,422640400,8/17/2010,11,0,11,4,6,6,4
9.012857437,9.095356941,8.984999657,9.03821373,7.692588329,339696000,8/18/2010,0,12,0,9,9,4,14
9.029999733,9.052857399,8.881428719,8.924285889,7.595624924,426706000,8/19/2010,0,0,4,4,0,8,0
8.906785965,9.068571091,8.892856598,8.915714264,7.588329792,384230000,8/20/2010,6,6,6,6,12,6,6
8.992500305,9,8.758929253,8.778571129,7.471602917,414041600,8/23/2010,2,2,6,4,2,4,0
8.666786194,8.678570747,8.52321434,8.568928719,7.293171883,602565600,8/24/2010,0,3,2,2,2,3,0
8.501428604,8.713929176,8.471428871,8.674642563,7.38314724,596867600,8/25/2010,0,8,4,3,6,3,6
8.76607132,8.776785851,8.581428528,8.581428528,7.303812981,466505200,8/26/2010,5,5,3,4,3,6,0
8.633929253,8.664643288,8.412857056,8.629285812,7.344544888,548391200,8/27/2010,0,6,3,7,0,7,3
8.598570824,8.776785851,8.595713615,8.660714149,7.371292114,383289200,8/30/2010,6,4,11,0,11,4,6
8.637499809,8.734286308,8.583929062,8.682143211,7.389531612,420786800,8/31/2010,4,9,0,10,9,6,10
8.838213921,8.980713844,8.795714378,8.940357208,7.609304428,697037600,9/1/2010,0,0,10,6,6,10,0
8.973570824,9.006071091,8.87749958,9.006071091,7.665230751,415427600,9/2/2010,0,12,9,9,12,0,10
9.110357285,9.242142677,9.089285851,9.241786003,7.86585474,520788800,9/3/2010,10,6,9,10,0,9,4
9.165714264,9.268928528,9.151785851,9.207500458,7.836674213,342557600,9/7/2010,4,3,7,0,6,4,0
9.277856827,9.442500114,9.253570557,9.390000343,7.992004395,526551200,9/8/2010,6,5,6,5,4,6,6
